Obsolète;Code terrain;Toponyme;Type;Date creation;Dernière modification;Date validation;Position;Latitude;Longitude;Altitude;Consignes;Nombre de pistes;Nature première piste;Axe préférentiel première piste;Largeur première piste;Longueur première piste;Orientation première piste;Nature deuxième piste;Axe préférentiel deuxième piste;Largeur deuxième piste;Longueur deuxième piste;Orientation deuxième piste;Radio;Carburant;Facilités;Facilités en clair;Email de contact;Téléphone;Informations complémentaires;Gestionnaire terrain
"";"LF1853";"Sainte Thorette";"Base ULM Autorisation OBLIGATOIRE ";"6/10/2011";"17/01/2025";"30/10/2025";"47.076088,2.214796";"N 47 04 34";"E 002 12 53";"400 ft";"TDP au sud, 500 ft ASFC (TDP court) ou 800 ft ASFC (TDP Long). Verticale piste 1000 ft AFSC mini. 





Ne pas survoler les deux fermes présentes aux abords de la piste (entourées en rouge) .";"1";"herbe";"";"20";"350";"'06-24";"";"";"";"";"";"125.335";"";"0";"invalid";"club@abul.asso.fr";"+33 6 62 29 35 95";"- En TDP soyez vigilants aux appareils en TDP plus long ou plus court que vous.


- Les éoliennes présentes à proximité au NE de la piste peuvent créer des perturbations par vent fort.


- Attention un arroseur peut être en travers de la piste l'été, téléphonez au préalable.


- Il est possible de vous procurer de l’essence si vous prévenez en avance.





Club ABUL : Ecole de pilotage pendulaire et multiaxes.";"Club ULM de Bourges / Sainte Thorette";
"";"LF1854";"Saint Christophe";"Base ULM Autorisation OBLIGATOIRE ";"8/11/2011";"10/03/2024";"22/04/2026";"46.580389,2.403833";"N 46 34 49";"E 002 24 14";"880 ft";"Piste située sous la R 145 B (plancher surface 0 - AGL, plafond 4500 ft AMSL)  et sous la LF-R 20 B3 E (plancher 3000 ft AMSL)





Tour de piste à l'est 1600 ft QNH (800 QFE)





Verticale 2100 ft QNH (1300ft QFE)





Eviter le survol des habitations à proximité";"1";"herbe";"'21";"25";"200";"'03-21";"";"";"";"";"";"125.335";"";"0";"invalid";"herveulm@aol.com";"+33 6 11 12 43 23";"CONTACTER Hervé BEAUX avant de venir vous poser pour consignes particulières,





 en cas d'absence contacter :


 Christophe GIRARD 06 98 75 91 58.





Notre club dispose pour les pilotes à mobilité réduite d'un fauteuil de transfert.";"ULM PULSION";
"";"LF1856";"Jouet sur l'Aubois";"Base ULM Accès privé";"30/11/2011";"18/02/2023";"14/04/2023";"47.04249431670665,2.9955968484100515";"N 47 02 33";"E 002 59 44";"640 ft";"Tour de piste au sud , éviter le survol des habitations.


Axe 25 : Approche par l'est (repère: cimetière) 


Piste en légère montée sur 200m, reste 80m.


Axe 07 : Approche par l'ouest (repère:route et maisons) Seuil décalé, légère descente sur 200m utilisable";"1";"herbe";"'25";"20";"230";"'07-25";"herbe";"";"";"";"'Inconnue";"125.335";"A proximité";"6,5";"Restauration &agrave proximité, Camping possible";"georges.parent18@gmail.com";"+33 6 80 00 06 08";"PPR: Autorisation du gestionnaire obligatoire.


La piste étant très proche des habitations, veillez à ne pas causer de nuisances sonores ou autres aux riverains.


Dans le bourg de Jouet, à 500m, on trouve tous commerces (super marché, carburant, pharmacie, médecin, restaurants et même gendarmerie).


En cas d'arrivée imprévue (en secours), toujours prévenir le gestionnaire au 06 80 00 06 08 ou 06 63 33 57 84.";"";
"";"LF1857";"Apple Airfield";"Base ULM Accès privé";"6/07/2023";"6/07/2023";"8/07/2023";"47.21306563341909,2.4190575883605803";"N 47 12 47";"E 002 25 09";"585 ft";"Tour de piste au Nord. Ne pas survoler les communes et les fermes avoisinantes.";"1";"herbe";"'06";"24";"260";"'06-24";"herbe";"";"";"";"'Inconnue";"125.335";"";"6,4,1";"Restauration &agrave proximité, Gîte à proximité, Atelier ULM";"remy.salmon@neuf.fr";"+33 6 09 22 99 50";"";"";
"";"LF1858";"Rechignon";"Aérodrome Privé Avec Restrictions Autorisation OBLIGATOIRE ";"1/05/2024";"7/05/2024";"8/05/2024";"47.17527777777778,2.6";"N 47 10 31";"E 002 36 00";"526 ft";"";"1";"herbe";"'25";"20";"500";"'07-25";"herbe";"";"";"";"'Inconnue";"";"";"4,5";"Gîte à proximité, Camping possible";"pmgourdin@sfr.fr";"+33 6 10 25 73 88";"Aérodrome situé dans la CTR de classe D d'Avord


Contact obligatoire 3 mn avant entrée dans les zones  sur  119.70


";"Pierre-Marie GOURDIN";
"oui";"LF1921";"Eyburie";"Base ULM fermée définitivement";"8/03/2011";"6/12/2015";"1/03/2022";"45.485396119162,1.64504291534422";"N 45 29 07";"E 001 38 42";"1316 ft";"";"1";"herbe";"";"";"270";"'03-21";"herbe";"";"";"";"'Inconnue";"";"";"6,4";"Restauration &agrave proximité, Gîte à proximité";"";"+33 5 55 73 06 77";"";"";
"";"LF1923";"Peyrelevade";"Aérodrome Privé Ouvert aux ULM";"5/09/2011";"15/01/2024";"16/01/2024";"45.707647767609,2.0325565338134766";"N 45 42 28";"E 002 01 57";"2493 ft";"Tour de piste standard main gauche.


";"1";"dur";"";"18";"750";"'16-34";"herbe";"";"";"";"'Inconnue";"";"A 900 Mètres";"2,4";"Hangar possible, Gîte à proximité";"";"";"Aérodrome réservé aux Pilotes ayant une autorisation


Renseignements et adhésion : www.lesailesdepeyrelevade.fr





En cas de décollage à masse max, il est conseillé de virer à gauche en 16 et à droite en 34.


Après pluie et dégel, ne pas sortir du bitume.";"";
"";"LF1926";"Lagarde Enval";"Aérodrome Privé Ouvert aux ULM";"8/03/2011";"18/07/2016";"22/07/2016";"45.17720321996853,1.8027827989501555";"N 45 10 38";"E 001 48 10";"1600 ft";"Atterrissage 22 - Décollage 04 - Tour de piste côté Sud Profil : 4 % moyen, irrégulier Deux lignes électriques HT convergentes: l'une au NE à 370m du seuil 22, l'autre au Sud à proximité même de l'aérodrome.  - passer verticale du poteau à l'atterrissage - décollage en virant à droite - Turbulences en finale par vent fort, mais piste non turbulente à l'abri des arbres. Atterrissage dangereux par vent de N.E. Remise de Gaz Impossible";"1";"herbe";"'22";"10";"380";"'04-22";"herbe";"";"";"";"'Inconnue";"";"";"";"";"";"+33 5 55 27 12 10";"Observations : stationnement impérativement à côté du hangar - arbres à 5m du bord de piste, donnant la fausse impression de resserrement de la piste  ";"";
"";"LF1927";"Troches-Pompadour";"Base ULM Accès privé";"5/09/2011";"11/07/2021";"14/04/2023";"45.40805436177,1.4202296733856201";"N 45 24 29";"E 001 25 13";"1368 ft";"";"1";"herbe";"";"30";"580";"'02-20";"herbe";"";"";"";"'Inconnue";"125.335";"";"0";"invalid";"";"+33 6 08 71 58 55";"";"Gilles ABOUT";
"";"LF1929";"Saint Cernin de Larche";"Aérodrome fermé.";"21/07/2011";"28/06/2023";"30/06/2023";"45.10772670364524,1.410670280456543";"N 45 06 28";"E 001 24 38";"331 ft";"Aérodrome fermé définitivement (terrain agricole)";"1";"herbe";"";"0";"450";"'01-19";"herbe";"";"";"";"'Inconnue";"123.500";"";"0";"invalid";"";"";"Du bourg de St-Cernin, prendre un chemin au NW direction le hameau de Chazat ";"";
"";"LF1930";"Variéras";"Base ULM Accès privé Utilisation EPISODIQUE ";"28/09/2011";"9/11/2017";"18/12/2025";"45.610555555556,1.9927777777777465";"N 45 36 38";"E 001 59 34";"2755 ft";"Plateforme réservée uniquement et strictement à l’usage du propriétaire. Pour des raisons de sécurité aucun invité ne peut être accueilli.


";"1";"herbe";"'23";"20";"240";"'05-23";"herbe";"";"";"";"'Inconnue";"123.065";"";"0";"invalid";"joeltravers@aol.com";"+33 5 55 95 56 71";"Plateforme réservée uniquement et strictement à l’usage du propriétaire. Pour des raisons de sécurité aucun invité ne peut être accueilli.";"";
"";"LF1951";"Les Chansèves";"Base ULM Autorisation OBLIGATOIRE ";"17/07/2011";"17/08/2020";"12/03/2026";"45.090096,1.855359";"N 45 05 24";"E 001 51 19";"1550 ft";"Seuils décalés 14/32 pour la piste en dur (32 en surplomb et arbres hauts en 14)


Attention à l'activité vol libre importante à la belle saison (treuillé, remorqué, cerf volants, simulateurs de vol delta).


Attention activité d'aéromodélisme possible.";"2";"dur";"'32";"10";"740";"'14-32";"herbe";"";"50";"210";"'14-32";"125.335";"";"0";"invalid";"Correzevollibre19@gmail.com";"+33 6 28 43 95 30";"La photo ci-dessous a été prise en direction du sud.


Activité d'aéromodélisme possible dans la moitié nord du terrain.";"Corrèze Vol, Libre";
"";"LF1952";"Lagleygeolle";"Aérodrome Privé Ouvert aux ULM";"21/04/2011";"25/12/2015";"18/12/2025";"45.080172554894,1.6733551025390625";"N 45 04 49";"E 001 40 24";"1380 ft";"PPR : Autorisation du propriétaire obligatoire.





Éviter survol centre de naturiste Puy Bousquet (dans les pins) ainsi que château du Theil (axe décollage 07)


Atterrissage obligatoire : 25";"2";"herbe";"'07";"20";"430";"'07-25";"herbe";"";"20";"305";"'02-20";"123.065";"Sur demande";"6,4";"Restauration &agrave proximité, Gîte à proximité";"cognac.bernard@gmail.com";"+33 6 08 00 06 07";"Chambres d'hôte à 2kms 


la douce France tel 06 88 65 69 95 ou 05 55 84 39 59


Guy vient vous chercher.


Restauration et hotels à Meyssac et Collonges à 3 kms";"cognac bernard";
"";"LF1953";"Pérols sur Vézère";"AltiSurface en service ";"19/08/2014";"25/12/2015";"18/12/2025";"45.587342383981,2.0132379457685374";"N 45 35 14";"E 002 00 48";"2800 ft";"Tour de Piste Main Gauche.


ATR en 23, DL en 07


";"1";"terre";"'23";"";"250";"'05-23";"herbe";"";"";"";"'Inconnue";"123.065";"";"0";"invalid";"";"+33 5 55 93 09 50";"Altisurface interdite du 15 mars au 1er juillet.


Attention à la piste ULM de Variéras 3 km au NNO.





Avions : Qualification Montagne requise.


ULM : Libre d'accès. Il est conseillé d’avoir au préalable suivi le cursus de formation au vol montagne proposé par le PNVM.


PILOTES ULM : Pour votre sécurité et pour obtenir les dernières consignes, veuillez contacter l'ACB Egletonnais.";"ACB Egletonnais";
"";"LF1954";"Savignoux";"Base ULM Accès privé";"23/04/2015";"30/12/2017";"14/04/2023";"45.01259457724309,1.7818073412577178";"N 45 00 45";"E 001 46 55";"886 ft";"longueur de la piste goudron = 200 m


longueur de la piste réelle herbe + goudron = 400 m";"1";"dur";"'14";"40";"150";"'14-32";"herbe";"";"";"";"'Inconnue";"125.335";"";"3,4,1";"Restauration sur place, Gîte à proximité, Atelier ULM";"gmenoire@gmail.com";"+33 6 77 13 53 47";"téléphoner pour invitation";"SAVIGEST -  GOLF DE PUY D'ARNAC";
"";"LF1955";"Chassancet";"Base ULM fermée définitivement";"19/04/2020";"2/12/2025";"18/04/2026";"45.157397,1.726875";"N 45 09 27";"E 001 43 37";"334 ft";"FERMETURE DÉFINITIVE par Arrete 19-2025-11-28-00005 portant fermeture definitive de deux plates-formes ULM BEYNAT lieu dit Chassancet";"2";"herbe";"";"";"150";"'omnidir";"herbe";"";"";"350";"'omnidir";"123.500";"non";"4,5";"Gîte à proximité, Camping possible";"aeroporteur@gmx.fr";"";"FERMETURE DÉFINITIVE par Arrete 19-2025-11-28-00005 portant fermeture definitive de deux plates-formes ULM BEYNAT lieu dit Chassancet";"Corréze Paramoteur Beynat Envol";
"oui";"LF2023";"Aghione Casone";"Base ULM fermée définitivement";"31/10/2012";"29/09/2018";"30/09/2018";"42.10186772218726,9.415185005075045";"N 42 06 07";"E 009 24 55";"206 ft";"";"1";"herbe";"";"70";"220";"'omnidir";"herbe";"";"";"";"'Inconnue";"Auto-info 123.5";"";"0";"invalid";"airscapades@wanadoo.fr";"+33 6 75 43 87 15";"";"Yves Corone";
"oui";"LF2051";"Cavallo";"Base ULM Accès privé";"9/04/2011";"20/08/2017";"21/08/2017";"41.368152621206235,9.260674198394781";"N 41 22 05";"E 009 15 38";"20 ft";"";"1";"terre";"";"0";"700";"'09-27";"herbe";"";"";"";"'Inconnue";"";"";"0";"invalid";"";"+33 4 95 70 03 82";"Ancien aérodrome désormais classé en piste ulm et fréquenté uniquement par des hélicoptères.





Atterrissage sans autorisation très fortement déconseillé.





Autorisation probablement impossible à obtenir auprès de l'Association Syndicale Libre Ile de Cavallo  (04 95 70 03 82)





Piste non entretenue avec de nombreux cailloux.";"Association Syndicale Libre Ile de Cavallo";
"";"LF2121";"Auxey Duresses";"Aérodrome Privé Ouvert aux ULM";"8/03/2011";"12/06/2018";"13/06/2018";"46.998889443479,4.735131089952233";"N 46 59 56";"E 004 44 06";"1378 ft";"";"1";"herbe";"'05";"20";"573";"'05-23";"herbe";"";"";"";"'Inconnue";"";"";"0";"invalid";"vincent-roy@wanadoo.fr";"+33 6 24 28 64 86";"Domaine Roy, Auxey-Duresses


Vincent Roy: 06 24 28 64 86    fixe: 03 80 21 22 37


Email: vincent-roy@wanadoo.fr


Visite des caves et dégustation possible, terroir 'Côtes de Beaune. ";"";
"";"LF2122";"Chaume et Courchamp";"Aérodrome Privé Ouvert aux ULM";"8/03/2011";"30/04/2017";"2/05/2017";"47.574920382643,5.350986103179935";"N 47 34 30";"E 005 21 04";"930 ft";"PPR : Aérodrome privé réservé au propriétaire et aux amis du propriétaire ainsi qu'a ceux ayant l'autorisation d'atterrissage


Attention piste montante côté 23 et descendante côté 05 (...), pente moyenne.";"1";"herbe";"'23";"";"600";"'05-23";"herbe";"";"";"";"'Inconnue";"";"";"";"";"";"+33 3 80 75 83 15";"En hiver, attention, de nombreux trous sont causés par les sangliers.";"";
"";"LF2123";"Dampierre et Flée";"Aérodrome Privé Avec Restrictions Autorisation OBLIGATOIRE ";"8/03/2011";"23/04/2023";"11/05/2023";"47.4773921467244,5.358383613769547";"N 47 28 39";"E 005 21 30";"820 ft";"Tour de piste à l'Ouest.  


";"1";"herbe";"'20";"25";"530";"'02-20";"herbe";"";"";"";"'Inconnue";"123.500";"";"0";"invalid";"jacquesbury06@gmail.com";"";"Terrain privé réservé aux avions et ULM basés. Éviter le survol des villages.


Utiliser la fréquence 123.5 au sol et aux abords.


Visite des aéronefs non basés possible après autorisation par email du gestionnaire.


Piste possiblement dégradée due au passage éventuel de sangliers, atterrissage sous la responsabilité exclusive du pilote, le gestionnaire n'habitant pas sur place pour répondre sur l'instant.


Écolage interdit par arrêté préfectoral.";"Aéroclub Les Cols Verts";
"oui";"LF2124";"Nantoux Les Vignes Naudin";"Base ULM fermée définitivement";"9/11/2011";"29/03/2012";"30/03/2012";"47.0111113,4.793951900000025";"N 47 00 40";"E 004 47 38";"1164 ft";"piste en pente de 5% - atterrissage en 30


seuil décalé de 50m en 30 cause clotûre


position GPS exacte: mi-piste N47°01'26' - E04°45'25'";"1";"herbe";"'30";"0";"350";"'12-30";"";"";"";"";"";"Auto-info 123.5";"";"";"";"";"+33 6 86 93 13 07";"Le propriétaire Jean MICHELOT est décédé.


Le domaine viticole a été vendu.


Une reconnaissance pédestre ne m'a pas permis de trouver le terrain aux coordonnées indiquées.


Le terrain n'existe probablement plus.";"";
"oui";"LF2127";"Chazan";"Base ULM fermée définitivement";"8/03/2011";"23/08/2020";"15/12/2024";"47.215698231049,4.904163331985501";"N 47 12 57";"E 004 54 15";"1516 ft";"";"1";"herbe";"";"";"200";"'15-33";"herbe";"";"";"";"'Inconnue";"125.335";"";"6,2,4";"Restauration &agrave proximité, Hangar possible, Gîte à proximité";"entrousselchr@orange.fr";"+33 6 07 53 77 11";"Attention depuis juillet 2020, il y a un dépôt de bois sur le bord de la piste. Après contact avec le propriétaire, la piste est utilisable sur 200 m avec toujours le dégagement possible à coté du tas de bois.


Contacter impérativement le gestionnaire avant de s'y poser.


";"";
"oui";"LF2131";"Sombernon Vielmoulin";"Base ULM fermée définitivement";"8/03/2011";"16/11/2014";"17/07/2015";"47.329167,4.658333";"N 47 19 45";"E 004 39 30";"1476 ft";"Au 1/1/2007, plus d'activités,plus de manche a air,plus d'entretien de piste. Piste le long de la route (D9) Haie d'environ 2m au seuil de la 29. A 1500m à l'Est, zone très chargée en lignes très hautes tensions EDF convergeant à un gros centre de répartition.";"1";"herbe";"";"";"300";"'11-29";"herbe";"";"";"";"'Inconnue";"";"";"";"";"";"+33 3 80 41 56 94";"";"";
"";"LF2132";"Souhil";"Base ULM Accès privé";"8/11/2011";"16/09/2018";"14/04/2023";"47.922614362855136,4.768656492233276";"N 47 55 21";"E 004 46 07";"792 ft";"ATTENTION : ligne haute tension en entrée de piste 20";"1";"herbe";"";"0";"360";"'02-20";"herbe";"";"";"";"'Inconnue";"125.335";"";"0";"invalid";"";"+33 3 80 93 52 02";"";"";
"";"LF2134";"Recey Le Mont de Lucey";"Aérodrome Privé Avec Restrictions Autorisation OBLIGATOIRE ";"8/11/2011";"6/03/2024";"7/03/2024";"47.79406507426282,4.855115936523475";"N 47 47 39";"E 004 51 18";"1300 ft";"ATTERRISSAGE AU QFU 05  (piste montante + dévers au seuil 05) 


DÉCOLLAGE AU QFU 23


Tour de piste main droite, 1800Ft QNH pour les ULM, 2300Ft QNH pour les avions. ";"1";"herbe";"'05";"20";"640";"'05-23";"herbe";"";"";"";"'Inconnue";"123.500";"";"0";"invalid";"francoislescureaf@gmail.com";"+33 6 08 52 71 37";"Aérodrome Privé situé :


1/ à proximité du Parc National de Forêts (voir SUP AIP) . Merci de respecter les restrictions de survol du Parc.


2/ dans la R45A (0-800Ft AGL) Arrivée et départ possibles UNIQUEMENT en dehors de l’activation de la R45A. 


« Ouvrez l’œil! » car activité militaire possible en dehors des créneaux d’activation du RTBA Défense.


Marques de distance restante en centaine de mètres (5,4,3,2,1) situées à gauche en 05";"";
"";"LF2151";"Saint Jean de Losne";"Base ULM ouverte tous types";"8/03/2011";"6/05/2025";"28/05/2026";"47.073582,5.266157";"N 47 04 25";"E 005 15 58";"600 ft";"Intégration 500 ft, Tour de piste à l'ouest attention, ligne moyenne tension


Particularité : Pas de survol des habitations.


CTR de Dole Tavaux à proximité





Attention risque de taupinières au seuil de la 34





Merci de nous prévenir de votre visite.";"1";"herbe";"";"";"380";"'16-34";"";"";"";"";"";"125.335";"";"5";"Camping possible";"ulmvaldesaone@gmail.com";"+33 6 51 36 34 70";"";"";
"oui";"LF2161";"Château La Chassagne";"Aérodrome privé fermé temporairement";"8/03/2011";"24/12/2015";"13/02/2020";"47.309444444444,4.819444444444571";"N 47 18 34";"E 004 49 10";"1118 ft";"terrain fermé en 2015 et 2016";"1";"herbe";"";"50";"800";"'06-24";"herbe";"";"";"";"'Inconnue";"";"néant";"0";"invalid";"info@chassagne.com";"+33 3 80 49 76 00";"Pour raison de travaux programmés en 2015 et en 2016, la plateforme est fermée.";"DRESEN Michel";
"";"LF2162";"Saint-Romain";"Aérodrome Privé Ouvert aux ULM";"8/03/2011";"7/12/2019";"9/12/2019";"47.017018107603,4.699597439236072";"N 47 01 01";"E 004 41 59";"1790 ft";"Aérodrome privé.";"1";"herbe";"";"30";"750";"'04-22";"herbe";"";"";"";"'Inconnue";"";"";"0";"invalid";"buisson.construction@free.fr";"+33 6 61 35 75 50";"PPR au propriétaire, habitant à côté de sa piste, M Vard, 0380216846 ou M Buisson: 03 80 216312  ou 0661357550. -  Renseignements + carte VAC : http://www.saintromain.free.fr/index.php?mod=page&ac=page&id_page=1";"";
"";"LF2163";"Nantoux";"Aérodrome privé fermé définitivement.";"8/03/2013";"16/11/2023";"28/11/2025";"47.023912,4.757322";"N 47 01 26";"E 004 45 26";"1138 ft";"Seuil décalé de 50m en 30 cause clôture.


Ne pas survoler le hameau.


Tour de piste main droite.


Atterrissage préférentiel QFU 30.


pente montante de 5% en 30


Décollage QFU 12";"1";"herbe";"'30";"9";"350";"'12-30";"";"";"";"";"";"123.50";"Non";"5";"Camping possible";"vincentdancer@free.fr";"+33 6 10 26 46 31";"Attention, c'est un terrain 'difficile', peu large. Cette piste est donc réservée à des pilotes ayant une bonne expérience des terrains 'brousse'.


C'est dans cet esprit qu'il a été crée par M. Michelot, et j'entends respecter ce caractère exclusif. Ce terrain se mérite...


La plantation de vignes en bordure de piste ne change en rien les conditions d'atterrissage et de décollage, mais demande au pilote de la précision.";"";
"";"LF2164";"Blanot";"Base ULM Accès privé";"17/11/2013";"9/06/2018";"14/04/2023";"47.173886651354,4.233631396823512";"N 47 10 26";"E 004 14 01";"1575 ft";"Piste en herbe située dans la R45B, de type altisurface montant en 24.


Tour de piste à l'ouest. Expérience montagne recommandée.


Profil 24 :


145m en rampe de 10%


50m en rampe de 5%


110m à plat orienté 25, ";"1";"herbe";"'24";"18";"305";"'06-24";"herbe";"";"";"";"'Inconnue";"125.335";"sur réservation";"4";"Gîte à proximité";"t.tm@me.com";"+33 6 68 04 34 34";"Accès uniquement après accord téléphonique la première fois";"";
"";"LF2221";"Kerfot la Paimpolaise";"Base ULM Autorisation OBLIGATOIRE ";"30/06/2011";"8/12/2023";"30/12/2025";"48.723882,-3.027055";"N 48 43 26";"W 003 01 37";"308 ft";"Téléphone impératif avant venir : visite possible de sangliers.





Tour de piste à l'Ouest. 


Branche vent AR à l'Ouest du village Yvias. 


Etape de Base 33 verticale station.";"1";"herbe";"";"10";"330";"'15-33";"";"";"";"";"";"125.335";"NIL";"2";"Hangar possible";"ph.connan@gmail.com";"+33682399130";"Les tours de piste sont interdits avant 9h, entre 12h et 15h, après 19h30. Nous évitons d'utiliser la plate forme pendant ces horaires pour garder de bons contacts avec nos riverains.


.


Voir Metar et Taf de St Brieuc LFRT et Lannion LFRO pour la météo locale


Risque de brume de mer en été par vent E - NE.";"ULM club La Paimpolaise";
